0 49
22 47 7
44 48 13
25 45 15
41 49 4
28 33 8
47 48 3
44 46 12
11 12 17
11 26 5
7 41 10
42 46 8
32 35 12
22 23 10
5 45 20
18 31 19
23 40 7
8 22 18
20 26 1
10 13 6
27 38 9
35 44 14
29 45 19
31 46 15
31 39 3
17 34 10
23 47 8
39 43 9
0 10 11
19 46 9
31 49 20
18 24 11
1 36 4
0 5 18
29 32 18
37 44 13
6 38 7
44 45 17
2 30 7
36 40 3
13 37 17
20 43 16
16 23 17
47 48 4
39 48 9
38 45 7
20 37 20
13 34 14
26 42 16
9 16 11
25 30 5
40 44 10
21 47 5
42 48 8
43 45 5
33 44 5
16 31 8
23 46 11
48 49 15
7 35 17
47 48 7
44 45 12
1 15 6
7 10 6
29 38 17
24 33 9
23 37 11
17 19 16
16 24 17
5 28 3
8 16 12
21 46 6
45 48 19
11 41 18
47 49 12
29 49 14
46 47 1
22 49 16
25 44 19
28 43 16
5 13 8
8 32 3
40 46 18
28 35 10
13 29 7
25 48 6
5 37 17
47 48 17
19 35 15
28 43 11
10 35 11
12 35 17
0 36 8
41 49 18
29 37 18
0 1 20
1 2 14
2 6 17
6 7 16
7 8 13
8 9 7
9 11 14
11 17 5
17 18 10
18 20 10
20 21 15
21 25 17
25 27 7
